day,status,important_achievements,productiveness,date,day_id,Article reading,Car sales project,Coding Interview Prep,Coding challenge,College programming,DiveAI,Event,Freelancer,ISLR,ImageProcessing,Internship,Interview,ML Job,Machine Learning,Networking,PROJECT,PowerBI,Programming,Python,R,SQL,Video Lecture
FORTY-ONE,1,No,4,2024-02-29,41,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
FORTY-TWO,1,No,3,2024-03-01,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
FORTY-THREE,1,No,2,2024-03-02,43,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
FORTY-FOUR,1,No,3,2024-03-03,44,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
FORTY-FIVE,1,No,3,2024-03-04,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FORTY-SIX,1,No,1,2024-03-05,46,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FORTY-SEVEN,1,No,4,2024-03-06,47,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FORTY-EIGHT,1,No,2,2024-03-07,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FORTY-NINE,1,No,3,2024-03-08,49,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
FIFTY,1,No,4,2024-03-09,50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
FIFTY-ONE,1,No,2,2024-03-10,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
FIFTY-TWO,1,No,1,2024-03-11,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
FIFTY-THREE,1,No,2,2024-03-12,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
FIFTY-FOUR,1,No,3,2024-03-13,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
FIFTY-FIVE,1,No,2,2024-03-14,55,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
FIFTY-SIX,0,No,3,2024-03-15,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FIFTY-SEVEN,0,No,4,2024-03-16,57,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0
FIFTY-EIGHT,1,No,2,2024-03-17,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FIFTY-NINE,1,No,3,2024-03-18,59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
SIXTY,1,No,1,2024-03-19,60,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SIXTY-ONE,1,No,2,2024-03-20,61,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SIXTY-TWO,1,No,2,2024-03-21,62,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
SIXTY-THREE,1,No,3,2024-03-22,63,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
SIXTY-FOUR,1,No,4,2024-03-23,64,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
SIXTY-FIVE,1,No,4,2024-03-24,65,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SIXTY-SIX,1,No,3,2024-03-25,66,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
SIXTY-SEVEN,1,Starting of Cognorise Internship in data science,2,2024-03-26,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
SIXTY-EIGHT,1,No,2,2024-03-27,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
SIXTY-NINE,1,No,1,2024-03-28,69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SEVENTY,1,No,1,2024-03-29,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
SEVENTY-ONE,1,No,1,2024-03-30,71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SEVENTY-TWO,1,No,1,2024-03-31,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SEVENTY-THREE,1,No,2,2024-04-01,73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
SEVENTY-FOUR,1,No,3,2024-04-02,74,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
SEVENTY-FIVE,1,No,3,2024-04-03,75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
SEVENTY-SIX,1,No,3,2024-04-04,76,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0
SEVENTY-SEVEN,1,No,4,2024-04-05,77,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
SEVENTY-EIGHT,1,No,4,2024-04-06,78,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
SEVENTY-NINE,1,No,2,2024-04-07,79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EIGHTY,1,No,2,2024-04-08,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
EIGHTY-ONE,1,No,2,2024-04-09,81,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
EIGHTY-TWO,1,No,3,2024-04-10,82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
EIGHTY-THREE,1,No,3,2024-04-11,83,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
EIGHTY-FOUR,1,No,3,2024-04-12,84,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
EIGHTY-FIVE,1,"International Women Day 2024, event at EAFIT by Women Techmakers",5,2024-04-13,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EIGHTY-SIX,1,No,3,2024-04-14,86,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
EIGHTY-SEVEN,1,No,2,2024-04-15,87,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
EIGHTY-EIGHT,1,No,3,2024-04-16,88,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
EIGHTY-NINE,1,No,4,2024-04-17,89,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
NINETY,1,No,3,2024-04-18,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
NINETY-ONE,1,Finished Cognorise data science internship,5,2024-04-19,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NINETY-TWO,1,Deadline Cognorise Internship,1,2024-04-20,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NINETY-THREE,1,No,3,2024-04-21,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
NINETY-FOUR,1,No,2,2024-04-22,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
NINETY-FIVE,1,No,3,2024-04-23,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
NINETY-SIX,1,No,2,2024-04-24,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NINETY-SEVEN,1,No,1,2024-04-25,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NINETY-EIGHT,1,"Finished Statistics of use project, V1",5,2024-04-26,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NINETY-NINE,0,No,3,2024-04-27,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ONE-HUNDRED,1,No,3,2024-04-28,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
